LoRa RX #1: T=33.8 C, PM1=14.0, PM2=26.7 ug/m3, flame=505, RSSI=-104 dBm, SNR=8.7 dB
LoRa RX #2: T=34.2 C, PM1=14.1, PM2=26.7 ug/m3, flame=512, RSSI=-105 dBm, SNR=9.0 dB
LoRa RX #3: T=34.5 C, PM1=13.5, PM2=26.2 ug/m3, flame=513, RSSI=-103 dBm, SNR=8.6 dB
LoRa RX #4: T=34.7 C, PM1=13.5, PM2=25.4 ug/m3, flame=505, RSSI=-104 dBm, SNR=8.6 dB
LoRa RX #5: T=34.8 C, PM1=13.5, PM2=25.2 ug/m3, flame=507, RSSI=-103 dBm, SNR=8.5 dB
LoRa RX #6: T=35.2 C, PM1=14.1, PM2=27.8 ug/m3, flame=513, RSSI=-103 dBm, SNR=8.6 dB
LoRa RX #7: T=35.5 C, PM1=13.9, PM2=26.2 ug/m3, flame=509, RSSI=-104 dBm, SNR=8.9 dB
LoRa RX #8: T=35.2 C, PM1=13.4, PM2=25.6 ug/m3, flame=514, RSSI=-104 dBm, SNR=8.7 dB
LoRa RX #9: T=35.6 C, PM1=14.0, PM2=26.8 ug/m3, flame=520, RSSI=-102 dBm, SNR=9.0 dB
LoRa RX #10: T=35.6 C, PM1=14.1, PM2=27.6 ug/m3, flame=518, RSSI=-103 dBm, SNR=9.2 dB
LoRa RX #11: T=36.2 C, PM1=14.4, PM2=28.5 ug/m3, flame=516, RSSI=-103 dBm, SNR=8.9 dB
LoRa RX #12: T=35.7 C, PM1=13.9, PM2=27.4 ug/m3, flame=517, RSSI=-103 dBm, SNR=9.2 dB
LoRa RX #13: T=36.0 C, PM1=13.7, PM2=26.4 ug/m3, flame=519, RSSI=-104 dBm, SNR=8.8 dB
LoRa RX #14: T=36.0 C, PM1=14.0, PM2=27.2 ug/m3, flame=525, RSSI=-104 dBm, SNR=8.8 dB
LoRa RX #15: T=36.1 C, PM1=13.6, PM2=26.8 ug/m3, flame=526, RSSI=-104 dBm, SNR=9.3 dB
LoRa RX #16: T=36.5 C, PM1=14.2, PM2=28.7 ug/m3, flame=525, RSSI=-103 dBm, SNR=9.3 dB
